Date,Account,StockTicker,Cusip,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/21/2026,NIHI,IEFA,46432F842,"iShares Core MSCI EAFE ETF","2,079,928",$97.99,"$203,812,144.72",99.66%,"$204,498,768.00","3,980,000",398,
09/21/2026,NIHI,"MXEA  261016C03270000","MXEA  261016C03270000","MXEA US 10/16/26 C3270",-211,$10.00,"$-211,000.00",-0.10%,"$204,498,768.00","3,980,000",398,
09/21/2026,NIHI,"MXEA  261016C03300000","MXEA  261016C03300000","MXEA US 10/16/26 C3300",-211,$3.05,"$-64,355.00",-0.03%,"$204,498,768.00","3,980,000",398,
09/21/2026,NIHI,Cash&Other,Cash&Other,"Cash & Other","958,638",$1.00,"$958,637.72",0.47%,"$204,498,768.00","3,980,000",398,Y
